X,Y,Z1,Z2,,,
273.157,300.556,69,3.129,75,83,74
817.812,299.726,4,3.129,60,64,67
409.321,177.677,82,3.129,,,
409.321,385.243,87,3.129,,,
545.485,159.411,75,3.129,,,
545.485,421.775,83,3.129,,,
681.648,193.452,60,3.129,,,
681.648,396.037,64,3.129,,,
409.321,177.677,82,3.129,,,
409.321,385.243,87,3.129,,,
408.491,313.010,39,3.129,,,
545.485,159.411,75,3.129,,,
545.485,421.775,83,3.129,,,
545.485,299.726,74,3.129,,,
681.648,193.452,60,3.129,,,
681.648,396.037,64,3.129,,,
681.648,300.556,67,3.129,,,
