X,Y,Z1,z2,,,
163.562,353.693,56,3.129,69,65,56
831.096,352.863,4,3.129,61,52,71
332.106,207.566,75,3.129,,,
332.106,479.063,70,3.129,,,
498.159,189.301,69,3.129,,,
496.499,521.407,65,3.129,,,
664.213,217.530,61,3.129,,,
664.213,478.233,52,3.129,,,
332.106,207.566,75,3.129,,,
332.106,479.063,70,3.129,,,
332.106,338.748,34,3.129,,,
498.159,189.301,69,3.129,,,
496.499,521.407,65,3.129,,,
498.159,353.693,56,3.129,,,
664.213,217.530,61,3.129,,,
664.213,478.233,52,3.129,,,
664.213,353.693,71,3.129,,,
