X,Y,Z1,Z2,,,
326.294,360.335,74,2.812,82,99,87
846.871,359.505,36,2.812,75,87,87
455.816,245.759,82,2.812,,,
455.816,454.155,99,2.812,,,
586.168,231.644,82,2.812,,,
586.168,484.875,99,2.812,,,
716.519,257.382,75,2.812,,,
716.519,459.137,87,2.812,,,
455.816,245.759,82,2.812,,,
455.816,454.155,99,2.812,,,
455.816,373.620,52,2.812,,,
586.168,231.644,82,2.812,,,
586.168,484.875,99,2.812,,,
586.168,360.335,87,2.812,,,
716.519,257.382,75,2.812,,,
716.519,459.137,87,2.812,,,
716.519,360.335,87,2.812,,,
