X,Y,Z1,Z2,,,
290.593,289.763,102,2.812,85,93,76
827.775,288.933,9,2.812,61,69,69
422.605,186.810,103,2.812,,,
423.436,386.074,105,2.812,,,
558.769,154.429,85,2.812,,,
557.939,429.247,93,2.812,,,
692.442,177.677,61,2.812,,,
692.442,406.000,69,2.812,,,
422.605,186.810,103,2.812,,,
423.436,386.074,105,2.812,,,
425.096,289.763,58,2.812,,,
558.769,154.429,85,2.812,,,
557.939,429.247,93,2.812,,,
558.769,289.763,76,2.812,,,
692.442,177.677,61,2.812,,,
692.442,406.000,69,2.812,,,
692.442,289.763,69,2.812,,,
