X,Y,Z1,Z2,,,
250.740,386.904,62,3.129,79,85,89
824.454,386.074,45,3.129,81,78,85
393.546,239.947,79,3.129,,,
393.546,488.196,82,3.129,,,
538.012,226.663,79,3.129,,,
538.012,484.875,85,3.129,,,
681.648,283.951,81,3.129,,,
681.648,454.986,78,3.129,,,
393.546,239.947,79,3.129,,,
393.546,488.196,82,3.129,,,
395.207,361.996,41,3.129,,,
538.012,226.663,79,3.129,,,
538.012,484.875,85,3.129,,,
538.012,386.904,89,3.129,,,
681.648,283.951,81,3.129,,,
681.648,454.986,78,3.129,,,
681.648,386.904,85,3.129,,,
