X,Y,Z1,Z2,,,
207.566,376.941,54,3.129,101,95,103
753.881,376.110,22,3.129,104,98,104
345.391,229.984,92,3.129,,,
345.391,493.178,84,3.129,,,
481.554,214.209,101,3.129,,,
481.554,515.595,95,3.129,,,
617.718,275.648,104,3.129,,,
617.718,465.779,98,3.129,,,
345.391,229.984,92,3.129,,,
345.391,493.178,84,3.129,,,
345.391,363.656,35,3.129,,,
481.554,214.209,101,3.129,,,
481.554,515.595,95,3.129,,,
481.554,376.941,103,3.129,,,
617.718,275.648,104,3.129,,,
617.718,465.779,98,3.129,,,
619.378,376.941,104,3.129,,,
