X,Y,Z1,Z2,,,
156.920,372.789,41,3.129,95,91,89
810.339,373.620,46,3.129,94,88,91
320.483,256.552,87,3.129,,,
320.483,484.875,73,3.129,,,
483.215,223.342,95,3.129,,,
483.215,516.425,91,3.129,,,
648.438,269.006,94,3.129,,,
648.438,482.384,88,3.129,,,
320.483,256.552,87,3.129,,,
320.483,484.875,73,3.129,,,
322.143,363.656,26,3.129,,,
483.215,223.342,95,3.129,,,
483.215,516.425,91,3.129,,,
484.875,372.789,89,3.129,,,
648.438,269.006,94,3.129,,,
648.438,482.384,88,3.129,,,
648.438,373.620,91,3.129,,,
