X,Y,Z1,Z2,,,
260.703,330.446,89,2.812,80,89,73
840.229,330.446,1,2.812,63,67,71
408.491,195.943,96,2.812,,,
406.830,432.568,102,2.812,,,
552.127,174.356,80,2.812,,,
551.297,482.384,89,2.812,,,
697.423,197.603,63,2.812,,,
695.763,454.986,67,2.812,,,
408.491,195.943,96,2.812,,,
406.830,432.568,102,2.812,,,
408.491,316.331,55,2.812,,,
552.127,174.356,80,2.812,,,
551.297,482.384,89,2.812,,,
552.127,330.446,73,2.812,,,
697.423,197.603,63,2.812,,,
695.763,454.986,67,2.812,,,
695.763,330.446,71,2.812,,,
