X,Y,Z1,Z2,,,
226.663,297.235,43,3.252,60,73,64
845.211,297.235,9,3.252,51,65,61
382.753,196.773,62,3.252,,,
381.922,401.849,67,3.252,,,
536.352,151.108,60,3.252,,,
536.352,428.417,73,3.252,,,
691.611,183.489,51,3.252,,,
691.611,410.151,65,3.252,,,
382.753,196.773,62,3.252,,,
381.922,401.849,67,3.252,,,
382.753,326.294,19,3.252,,,
536.352,151.108,60,3.252,,,
536.352,428.417,73,3.252,,,
536.352,297.235,64,3.252,,,
691.611,183.489,51,3.252,,,
691.611,410.151,65,3.252,,,
691.611,297.235,61,3.252,,,
