X,Y,Z1,Z2,,,
283.951,297.235,49,3.252,57,53,47
807.018,297.235,4,3.252,44,41,47
416.793,224.172,59,3.252,,,
416.793,411.812,56,3.252,,,
547.975,192.622,57,3.252,,,
547.975,445.853,53,3.252,,,
678.327,203.415,44,3.252,,,
678.327,435.059,41,3.252,,,
416.793,224.172,59,3.252,,,
416.793,411.812,56,3.252,,,
416.793,309.689,21,3.252,,,
547.975,192.622,57,3.252,,,
547.975,445.853,53,3.252,,,
547.975,320.483,47,3.252,,,
678.327,203.415,44,3.252,,,
678.327,435.059,41,3.252,,,
679.157,297.235,47,3.252,,,
