X,Y,Z1,Z2,,,
398.528,380.262,68,3.129,74,67,66
856.834,380.262,22,3.129,62,58,60
514.765,297.235,77,3.129,,,
514.765,469.100,73,3.129,,,
627.681,283.951,74,3.129,,,
627.681,491.517,67,3.129,,,
742.258,308.859,62,3.129,,,
742.258,463.288,58,3.129,,,
514.765,297.235,77,3.129,,,
514.765,469.100,73,3.129,,,
514.765,380.262,42,3.129,,,
627.681,283.951,74,3.129,,,
627.681,491.517,67,3.129,,,
628.511,380.262,66,3.129,,,
742.258,308.859,62,3.129,,,
742.258,463.288,58,3.129,,,
741.427,380.262,60,3.129,,,
