X,Y,Z1,Z2,,,
140.315,317.162,113,2.812,88,97,97
841.890,318.822,11,2.812,62,75,80
315.501,146.957,101,2.812,,,
313.840,481.554,123,2.812,,,
489.857,124.540,88,2.812,,,
489.857,496.499,97,2.812,,,
664.213,172.695,62,2.812,,,
665.043,441.701,75,2.812,,,
315.501,146.957,101,2.812,,,
313.840,481.554,123,2.812,,,
313.840,297.235,74,2.812,,,
489.857,124.540,88,2.812,,,
489.857,496.499,97,2.812,,,
489.857,317.162,97,2.812,,,
664.213,172.695,62,2.812,,,
665.043,441.701,75,2.812,,,
665.043,317.162,80,2.812,,,
