X,Y,Z1,Z2,,,
338.748,287.272,44,3.287,57,70,48
804.528,288.933,15,3.287,51,64,52
455.816,206.736,55,3.287,,,
455.816,344.560,64,3.287,,,
571.223,177.677,57,3.287,,,
571.223,365.317,70,3.287,,,
685.800,194.282,51,3.287,,,
686.630,341.239,64,3.287,,,
455.816,206.736,55,3.287,,,
455.816,344.560,64,3.287,,,
455.816,312.180,22,3.287,,,
571.223,177.677,57,3.287,,,
571.223,365.317,70,3.287,,,
572.053,288.102,48,3.287,,,
685.800,194.282,51,3.287,,,
686.630,341.239,64,3.287,,,
686.630,287.272,52,3.287,,,
