X,Y,Z1,Z2,,,
56.458,254.892,24,2.649,118,131,121
825.285,254.892,72,2.649,125,139,142
248.250,124.540,91,2.649,,,
248.250,362.826,99,2.649,,,
440.041,87.178,118,2.649,,,
440.041,408.491,131,2.649,,,
631.833,114.577,125,2.649,,,
631.833,387.734,139,2.649,,,
248.250,124.540,91,2.649,,,
248.250,362.826,99,2.649,,,
248.250,251.571,25,2.649,,,
440.041,87.178,118,2.649,,,
440.041,408.491,131,2.649,,,
440.041,254.061,121,2.649,,,
631.833,114.577,125,2.649,,,
631.833,387.734,139,2.649,,,
631.833,254.892,142,2.649,,,
