X,Y,Z1,Z2,,,
243.268,346.221,125,2.812,100,92,89
841.890,347.051,6,2.812,75,65,96
393.546,169.374,125,2.812,,,
392.716,548.806,109,2.812,,,
544.654,144.466,100,2.812,,,
544.654,552.957,92,2.812,,,
692.442,189.301,75,2.812,,,
694.102,513.104,65,2.812,,,
393.546,169.374,125,2.812,,,
392.716,548.806,109,2.812,,,
393.546,342.900,80,2.812,,,
544.654,144.466,100,2.812,,,
544.654,552.957,92,2.812,,,
542.994,346.221,89,2.812,,,
692.442,189.301,75,2.812,,,
694.102,513.104,65,2.812,,,
692.442,347.051,96,2.812,,,
