X,Y,Z1,Z2,,,
229.153,360.335,107,3.129,82,91,76
888.384,360.335,1,3.129,62,62,80
392.716,186.810,99,3.129,,,
391.885,547.975,106,3.129,,,
556.278,166.053,82,3.129,,,
557.939,576.204,91,3.129,,,
722.331,200.094,62,3.129,,,
722.331,538.012,62,3.129,,,
392.716,186.810,99,3.129,,,
391.885,547.975,106,3.129,,,
391.885,360.335,68,3.129,,,
556.278,166.053,82,3.129,,,
557.939,576.204,91,3.129,,,
557.939,360.335,76,3.129,,,
722.331,200.094,62,3.129,,,
722.331,538.012,62,3.129,,,
722.331,360.335,80,3.129,,,
