X,Y,Z1,Z2,,,
169.374,322.973,53,3.252,83,77,72
801.207,322.973,17,3.252,77,74,85
325.464,182.658,84,3.252,,,
323.804,486.536,73,3.252,,,
483.215,164.393,83,3.252,,,
483.215,513.104,77,3.252,,,
642.626,205.906,77,3.252,,,
642.626,448.344,74,3.252,,,
325.464,182.658,84,3.252,,,
323.804,486.536,73,3.252,,,
326.294,322.973,26,3.252,,,
483.215,164.393,83,3.252,,,
483.215,513.104,77,3.252,,,
484.875,322.973,72,3.252,,,
642.626,205.906,77,3.252,,,
642.626,448.344,74,3.252,,,
644.286,323.804,85,3.252,,,
